INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,NUM_INVOLVED_AGENCIES
URSUS-34-9900-2019-920,CA0349900,8/30/2019,18:29,ONTARIO,SAN BERNARDINO,CA,91762,FALSE,FALSE,FALSE,TRUE,consensual,,1,1,1
URSUS-34-9900-2019-963,CA0349900,3/10/2019,23:00,REDDING,SHASTA,CA,96002,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,10,2
URSUS-34-9900-2019-9e2,CA0349900,4/27/2019,23:57,GARDENA,LOS ANGELES,CA,90248,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,3,1
URSUS-34-9900-2019-9f7,CA0349900,3/26/2019,02:52,BLYTHE,RIVERSIDE,CA,92225,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,1
URSUS-34-9900-2019-a72,CA0349900,8/4/2019,19:42,ARVIN,KERN,CA,93203,FALSE,FALSE,FALSE,TRUE,in_progress,,1,1,1
URSUS-34-9900-2019-abc,CA0349900,3/29/2019,20:50,BURBANK,LOS ANGELES,CA,91523,FALSE,FALSE,TRUE,TRUE,in_progress,,1,11,2
URSUS-34-9900-2019-cd5,CA0349900,2/8/2019,05:04,BUTTONWILLOW,KERN,CA,93206,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,1
URSUS-34-9900-2019-d6d,CA0349900,7/20/2019,16:40,REDDING,SHASTA,CA,96001,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,1
URSUS-34-9900-2019-e11,CA0349900,10/31/2019,00:11,FRESNO,FRESNO,CA,93706,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,1
URSUS-34-9900-2019-f6d,CA0349900,11/24/2019,15:06,PRUNEDALE,MONTEREY,CA,95076,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,2,2
URSUS-34-9900-2019-faa,CA0349900,8/12/2019,11:21,VENTURA,VENTURA,CA,93001,FALSE,FALSE,FALSE,TRUE,in_progress,,1,1,1
URSUS-36-0000-2019-012,CA0360000,9/29/2019,21:39,YUCCA VALLEY,SAN BERNARDINO,CA,92284,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,9,1
URSUS-36-0000-2019-015,CA0360000,12/20/2019,09:09,RANCHO CUCAMONGA,SAN BERNARDINO,CA,91739,FALSE,FALSE,TRUE,TRUE,in_custody_event,awaiting_booking,1,3,1
URSUS-36-0000-2019-11a,CA0360000,7/12/2019,10:18,YUCCA VALLEY,SAN BERNARDINO,CA,92284,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,1
URSUS-36-0000-2019-133,CA0360000,7/20/2019,07:52,ADELANTO,SAN BERNARDINO,CA,92301,FALSE,FALSE,FALSE,TRUE,in_custody_event,booked_no_charge,1,1,1
URSUS-36-0000-2019-1ac,CA0360000,7/10/2019,11:10,ADELANTO,SAN BERNARDINO,CA,92301,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,1
URSUS-36-0000-2019-1da,CA0360000,12/7/2019,08:00,ADELANTO,SAN BERNARDINO,CA,92301,FALSE,FALSE,TRUE,TRUE,in_custody_event,awaiting_booking,1,2,1
URSUS-36-0000-2019-219,CA0360000,7/16/2019,19:47,CHINO HILLS,SAN BERNARDINO,CA,91709,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,3,1
URSUS-36-0000-2019-257,CA0360000,12/11/2019,15:00,PINON HILLS,SAN BERNARDINO,CA,92372,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,1
URSUS-36-0000-2019-27e,CA0360000,8/3/2019,09:42,RANCHO CUCAMONGA,SAN BERNARDINO,CA,91730,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-36-0000-2019-281,CA0360000,7/17/2019,14:39,VICTORVILLE,SAN BERNARDINO,CA,92395,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,6,1
URSUS-36-0000-2019-3bd,CA0360000,2/4/2019,08:48,ADELANTO,SAN BERNARDINO,CA,92301,FALSE,FALSE,FALSE,TRUE,in_custody_event,booked_no_charge,1,2,1
URSUS-36-0000-2019-42b,CA0360000,5/13/2019,12:00,BARSTOW,SAN BERNARDINO,CA,92311,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,1
URSUS-36-0000-2019-446,CA0360000,11/1/2019,16:53,VICTORVILLE,SAN BERNARDINO,CA,92393,FALSE,FALSE,FALSE,TRUE,ambush,,1,1,1
URSUS-36-0000-2019-48b,CA0360000,12/10/2019,17:20,HESPERIA,SAN BERNARDINO,CA,92345,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,1
URSUS-36-0000-2019-541,CA0360000,9/19/2019,10:23,RANCHO CUCAMONGA,SAN BERNARDINO,CA,91739,FALSE,FALSE,FALSE,TRUE,in_custody_event,booked_awaiting_trial,1,1,1
URSUS-36-0000-2019-5ee,CA0360000,8/10/2019,19:15,ADELANTO,SAN BERNARDINO,CA,92301,FALSE,FALSE,FALSE,TRUE,in_custody_event,awaiting_booking,1,1,1
URSUS-36-0000-2019-669,CA0360000,11/3/2019,00:46,RANCHO CUCAMONGA,SAN BERNARDINO,CA,91739,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,1
URSUS-36-0000-2019-6a4,CA0360000,5/26/2019,07:25,PINON HILLS,SAN BERNARDINO,CA,92372,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-36-0000-2019-761,CA0360000,11/24/2019,21:00,BARSTOW,SAN BERNARDINO,CA,92311,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-36-0000-2019-7d3,CA0360000,10/20/2019,14:30,TWENTYNINE PALMS,SAN BERNARDINO,CA,92277,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,1
URSUS-36-0000-2019-7ee,CA0360000,9/4/2019,09:25,VICTORVILLE,SAN BERNARDINO,CA,92394,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,1
URSUS-36-0000-2019-80b,CA0360000,5/10/2019,21:21,RANCHO CUCAMONGA,SAN BERNARDINO,CA,91739,FALSE,FALSE,FALSE,TRUE,in_custody_event,booked_no_charge,1,1,1
URSUS-36-0000-2019-841,CA0360000,1/23/2019,20:54,FONTANA,SAN BERNARDINO,CA,92335,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,4,1
URSUS-36-0000-2019-891,CA0360000,5/21/2019,09:30,RANCHO CUCAMONGA,SAN BERNARDINO,CA,91730,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-36-0000-2019-928,CA0360000,11/5/2019,02:17,HESPERIA,SAN BERNARDINO,CA,92345,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-36-0000-2019-9e5,CA0360000,6/26/2019,00:21,SAN BERNARDINO,SAN BERNARDINO,CA,92404,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-36-0000-2019-a32,CA0360000,11/19/2019,08:16,YUCCA VALLEY,SAN BERNARDINO,CA,92284,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,1
URSUS-36-0000-2019-ad9,CA0360000,10/19/2019,09:05,VICTORVILLE,SAN BERNARDINO,CA,92395,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,3,1
URSUS-36-0000-2019-add,CA0360000,11/14/2019,09:22,RANCHO CUCAMONGA,SAN BERNARDINO,CA,91739,FALSE,FALSE,TRUE,TRUE,in_custody_event,awaiting_booking,1,2,1
URSUS-36-0000-2019-b37,CA0360000,10/8/2019,15:29,SAN BERNARDINO,SAN BERNARDINO,CA,92410,FALSE,FALSE,TRUE,TRUE,consensual,,1,1,1
URSUS-36-0000-2019-b5d,CA0360000,6/1/2019,01:26,SAN BERNARDINO,SAN BERNARDINO,CA,92346,FALSE,FALSE,TRUE,TRUE,consensual,,1,2,1
URSUS-36-0000-2019-bb4,CA0360000,9/27/2019,13:37,YUCCA VALLEY,SAN BERNARDINO,CA,92284,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,1
URSUS-36-0000-2019-bc4,CA0360000,6/26/2019,12:42,YUCCA VALLEY,SAN BERNARDINO,CA,92284,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,1
URSUS-36-0000-2019-bcc,CA0360000,9/4/2019,08:25,VICTORVILLE,SAN BERNARDINO,CA,92395,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,1
URSUS-36-0000-2019-bfd,CA0360000,11/22/2019,18:54,RANCHO CUCAMONGA,SAN BERNARDINO,CA,91739,FALSE,FALSE,TRUE,TRUE,in_custody_event,booked_awaiting_trial,1,4,1
URSUS-36-0000-2019-c25,CA0360000,11/28/2019,08:33,CHINO HILLS,SAN BERNARDINO,CA,91709,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,1
URSUS-36-0000-2019-c93,CA0360000,4/2/2019,14:50,COLTON,SAN BERNARDINO,CA,92324,FALSE,FALSE,FALSE,TRUE,in_custody_event,other,1,1,1
URSUS-36-0000-2019-cbc,CA0360000,2/23/2019,16:15,VICTORVILLE,SAN BERNARDINO,CA,92395,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,8,1
URSUS-36-0000-2019-cc8,CA0360000,11/24/2019,06:35,YUCCA VALLEY,SAN BERNARDINO,CA,92284,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-36-0000-2019-ce4,CA0360000,6/14/2019,13:40,RANCHO CUCAMONGA,SAN BERNARDINO,CA,91739,FALSE,FALSE,TRUE,TRUE,in_custody_event,booked_no_charge,1,2,1
